"CN 2008 - PRODCOM 2008",,
"Source","Target"
"0406 90 27","10.51.40.50"
"0406 90 29","10.51.40.50"
"0406 90 32","10.51.40.50"
"0406 90 35","10.51.40.50"
"0406 90 37","10.51.40.50"
"0406 90 39","10.51.40.50"
"0406 90 50","10.51.40.50"
"0406 90 61","10.51.40.50"
"0406 90 63","10.51.40.50"
"0406 90 69","10.51.40.50"
"0406 90 73","10.51.40.50"
"0406 90 75","10.51.40.50"
"0406 90 76","10.51.40.50"
"0406 90 78","10.51.40.50"
"0406 90 79","10.51.40.50"
"0406 90 81","10.51.40.50"
"0406 90 82","10.51.40.50"
"0406 90 84","10.51.40.50"
"0406 90 85","10.51.40.50"
"0406 90 86","10.51.40.50"
"0406 90 87","10.51.40.50"
"0406 90 88","10.51.40.50"
"0406 90 93","10.51.40.50"
"0406 90 99","10.51.40.50"
"0408 11 20","10.89.12.30"
"0408 11 80","10.89.12.30"
"0408 19 20","10.89.12.30"
"0408 19 81","10.89.12.30"
"0408 19 89","10.89.12.30"
"0408 91 20","10.89.12.30"
"0408 91 80","10.89.12.30"
"0408 99 20","10.89.12.30"
"0408 99 80","10.89.12.30"
"0502 10 00","10.11.60.90"
"0502 90 00","10.11.60.90"
"0504 00 00","10.11.60.30"
"0506 10 00","10.11.60.90"
"0506 90 00","10.11.60.90"
"0507 10 00","10.11.60.90"
"0510 00 00","10.11.60.90"
"0511 91 10","10.20.42.00"
"0511 91 90","10.20.42.00"
"0511 99 10","10.11.60.90"
"0511 99 85","10.11.60.90"
"0710 10 00","10.31.11.10"
"0710 21 00","10.39.11.00"
"0710 22 00","10.39.11.00"
"0710 29 00","10.39.11.00"
"0710 30 00","10.39.11.00"
"0710 40 00","10.39.11.00"
"0710 80 10","10.39.11.00"
"0710 80 51","10.39.11.00"
"0710 80 59","10.39.11.00"
"0710 80 61","10.39.11.00"
"0710 80 69","10.39.11.00"
"0710 80 70","10.39.11.00"
"0710 80 80","10.39.11.00"
"0710 80 85","10.39.11.00"
"0710 80 95","10.39.11.00"
"0710 90 00","10.39.11.00"
"0711 20 10","10.39.12.00"
"0711 20 90","10.39.12.00"
"0711 40 00","10.39.12.00"
"0711 51 00","10.39.12.00"
"0711 59 00","10.39.12.00"
"0711 90 10","10.39.12.00"
"0711 90 30","10.39.12.00"
"0711 90 50","10.39.12.00"
"0711 90 70","10.39.12.00"
"0711 90 80","10.39.12.00"
"0711 90 90","10.39.12.00"
"0712 20 00","10.39.13.30"
"0712 31 00","10.39.13.50"
"0712 32 00","10.39.13.50"
"0712 33 00","10.39.13.50"
"0712 39 00","10.39.13.50"
"0712 90 05","10.31.12.00"
"0712 90 11","10.39.13.90"
"0712 90 19","10.39.13.90"
"0712 90 30","10.39.13.90"
"0712 90 50","10.39.13.90"
"0712 90 90","10.39.13.90"
"0806 20 10","10.39.25.10"
"0806 20 30","10.39.25.10"
"0806 20 90","10.39.25.10"
"0811 10 11","10.39.21.00"
"0811 10 19","10.39.21.00"
"0811 10 90","10.39.21.00"
"0811 20 11","10.39.21.00"
"0811 20 19","10.39.21.00"
"0811 20 31","10.39.21.00"
"0811 20 39","10.39.21.00"
"0811 20 51","10.39.21.00"
"0811 20 59","10.39.21.00"
"0811 20 90","10.39.21.00"
"0811 90 11","10.39.21.00"
"0811 90 19","10.39.21.00"
"0811 90 31","10.39.21.00"
"0811 90 39","10.39.21.00"
"0811 90 50","10.39.21.00"
"0811 90 70","10.39.21.00"
"0811 90 75","10.39.21.00"
"0811 90 80","10.39.21.00"
"0811 90 85","10.39.21.00"
"0811 90 95","10.39.21.00"
"0812 10 00","10.39.24.30"
"0812 90 10","10.39.24.30"
"0812 90 20","10.39.24.30"
"0812 90 30","10.39.24.30"
"0812 90 40","10.39.24.30"
"0812 90 70","10.39.24.30"
"0812 90 98","10.39.24.30"
"0813 10 00","10.39.25.20"
"0813 20 00","10.39.25.20"
"0813 30 00","10.39.25.20"
"0813 40 10","10.39.25.20"
"0813 40 30","10.39.25.20"
"0813 40 50","10.39.25.20"
"0813 40 65","10.39.25.20"
"0813 40 95","10.39.25.20"
"0813 50 12","10.39.25.20"
"0813 50 15","10.39.25.20"
"0813 50 19","10.39.25.20"
"0813 50 31","10.39.25.20"
"0813 50 39","10.39.25.20"
"0813 50 91","10.39.25.20"
"0813 50 99","10.39.25.20"
"0814 00 00","10.39.24.10"
"0901 12 00","10.83.11.30"
"0901 21 00","10.83.11.50"
"0901 22 00","10.83.11.70"
"0901 90 90","10.83.12.10"
"0902 10 00","10.83.13.00"
"0902 30 00","10.83.13.00"
"1006 20 11","10.61.11.00"
"1006 20 13","10.61.11.00"
"1006 20 15","10.61.11.00"
"1006 20 17","10.61.11.00"
"1006 20 92","10.61.11.00"
"1006 20 94","10.61.11.00"
"1006 20 96","10.61.11.00"
"1006 20 98","10.61.11.00"
"1006 30 21","10.61.12.30"
"1006 30 23","10.61.12.30"
"1006 30 25","10.61.12.30"
"1006 30 27","10.61.12.30"
"1006 30 42","10.61.12.30"
"1006 30 44","10.61.12.30"
"1006 30 46","10.61.12.30"
"1006 30 48","10.61.12.30"
"1006 30 61","10.61.12.30"
"1006 30 63","10.61.12.30"
"1006 30 65","10.61.12.30"
"1006 30 67","10.61.12.30"
"1006 30 92","10.61.12.30"
"1006 30 94","10.61.12.30"
"1006 30 96","10.61.12.30"
"1006 30 98","10.61.12.30"
"1006 40 00","10.61.12.50"
"1101 00 11","10.61.21.00"
"1101 00 15","10.61.21.00"
"1101 00 90","10.61.21.00"
"1102 10 00","10.61.22.00"
"1102 20 10","10.61.22.00"
"1102 20 90","10.61.22.00"
"1102 90 10","10.61.22.00"
"1102 90 30","10.61.22.00"
"1102 90 50","10.61.22.00"
"1102 90 90","10.61.22.00"
"1103 11 10","10.61.31.33"
"1103 11 90","10.61.31.35"
"1103 13 10","10.61.32.30"
"1103 13 90","10.61.32.30"
"1103 19 10","10.61.32.30"
"1103 19 30","10.61.32.30"
"1103 19 40","10.61.32.30"
"1103 19 50","10.61.32.30"
"1103 19 90","10.61.32.30"
"1103 20 10","10.61.32.50"
"1103 20 20","10.61.32.50"
"1103 20 30","10.61.32.50"
"1103 20 40","10.61.32.50"
"1103 20 50","10.61.32.50"
"1103 20 60","10.61.32.40"
"1103 20 90","10.61.32.50"
"1104 12 10","10.61.33.33"
"1104 12 90","10.61.33.33"
"1104 19 10","10.61.33.33"
"1104 19 30","10.61.33.33"
"1104 19 50","10.61.33.33"
"1104 19 61","10.61.33.33"
"1104 19 69","10.61.33.33"
"1104 19 91","10.61.33.33"
"1104 19 99","10.61.33.33"
"1104 22 20","10.61.33.33"
"1104 22 30","10.61.33.33"
"1104 22 50","10.61.33.33"
"1104 22 90","10.61.33.33"
"1104 22 98","10.61.33.33"
"1104 23 10","10.61.33.33"
"1104 23 30","10.61.33.33"
"1104 23 90","10.61.33.33"
"1104 23 99","10.61.33.33"
"1104 29 01","10.61.33.33"
"1104 29 03","10.61.33.33"
"1104 29 05","10.61.33.33"
"1104 29 07","10.61.33.33"
"1104 29 09","10.61.33.33"
"1104 29 11","10.61.33.33"
"1104 29 18","10.61.33.33"
"1104 29 30","10.61.33.33"
"1104 29 51","10.61.33.33"
"1104 29 55","10.61.33.33"
"1104 29 59","10.61.33.33"
"1104 29 81","10.61.33.33"
"1104 29 85","10.61.33.33"
"1104 29 89","10.61.33.33"
"1104 30 10","10.61.33.35"
"1104 30 90","10.61.33.35"
"1105 10 00","10.31.13.00"
"1105 20 00","10.31.13.00"
"1106 10 00","10.61.23.00"
"1106 20 10","10.61.23.00"
"1106 20 90","10.61.23.00"
"1106 30 10","10.61.23.00"
"1106 30 90","10.61.23.00"
"1107 10 11","11.06.10.30"
"1107 10 19","11.06.10.30"
"1107 10 91","11.06.10.30"
"1107 10 99","11.06.10.30"
"1107 20 00","11.06.10.50"
