"Year","PRODCOM code","CN code"
"2003","29431287","84793090"
"2003","29432013","84681000"
"2003","29432015","84682000"
"2003","29432017","84688000"
"2003","29432023","85151100"
"2003","29432025","85151900"
"2003","29432030","85152100"
"2003","29432043","85152910"
"2003","29432045","85152990"
"2003","29432050","85153100"
"2003","29432063","85153913"
"2003","29432063","85153918"
"2003","29432065","85153990"
"2003","29432070","85158005"
"2003","29432070","85158011"
"2003","29432070","85158019"
"2003","29432083","85158091"
"2003","29432085","85158099"
"2003","29433133","84661010"
"2003","29433135","84661031"
"2003","29433150","84661039"
"2003","29433170","84661090"
"2003","29433230","84662010"
"2003","29433250","84662091"
"2003","29433270","84662099"
"2003","29433300","84663000"
"2003","29433430","84669115"
"2003","29433430","84669120"
"2003","29433430","84669195"
"2003","29433450","84669220"
"2003","29433450","84669280"
"2003","29433530","84689000"
"2003","29433550","85159010"
"2003","29433550","85159090"
"2003","29562382","84778011"
"2003","29562384","84778019"
"2003","29562391","84778091"
"2003","29562393","84778093"
"2003","29562395","84778095"
"2003","29562397","84778099"
"2003","31402385","85078094"
"2003","31402385","85078098"
"2003","32106100","85421000"
"2003","32106215","85422101"
"2003","32106217","85422105"
"2003","32106225","85422111"
"2003","2710T222","72085130"
"2003","2710T222","72085150"
"2003","2710T222","72085191"
"2003","2710T222","72085199"
"2003","2710T222","72085210"
"2003","2710T222","72085291"
"2003","2710T222","72085299"
"2003","2710T222","72085310"
"2003","2710T222","72089010"
"2003","2710T222","72109031"
"2003","2710T222","72111300"
"2003","2710T222","72192110"
"2003","2710T222","72192190"
"2003","2710T222","72254020"
"2003","2710T222","72254050"
"2003","2710T222","72259910"
"2003","2710T222","72259990"
"2003","2710T231","72131000"
"2003","2710T231","72132000"
"2003","2710T231","72139110"
"2003","2710T231","72139120"
"2003","2710T231","72139141"
"2003","2710T231","72139149"
"2003","2710T231","72139170"
"2003","2710T231","72139190"
"2003","2710T231","72139910"
"2003","2710T231","72139990"
"2003","2710T231","72210010"
"2003","2710T231","72210090"
"2003","2710T231","72272000"
"2003","2710T231","72279010"
"2003","2710T231","72279095"
"2003","2710T241","72142000"
"2003","2710T241","72149910"
"2003","2710T242","72141000"
"2003","2710T242","72143000"
"2003","2710T242","72149110"
"2003","2710T242","72149190"
"2003","2710T242","72149931"
"2003","2710T242","72149939"
"2003","2710T242","72149950"
"2003","2710T242","72149961"
"2003","2710T242","72149969"
"2003","2710T242","72149980"
"2003","2710T242","72149990"
"2003","2710T242","72159010"
"2003","2710T242","72221111"
"2003","2710T242","72221119"
"2003","2710T242","72221121"
"2003","2710T242","72221129"
"2003","2710T242","72221191"
"2003","2710T242","72221199"
"2003","2710T242","72221910"
"2003","2710T242","72221990"
"2003","2710T242","72223010"
"2003","2710T242","72224010"
"2003","2710T242","72224030"
"2003","2710T242","72282011"
"2003","2710T242","72282019"
"2003","2710T242","72282030"
"2003","2710T242","72283020"
"2003","2710T242","72283041"
"2003","2710T242","72283049"
"2003","2710T242","72283061"
"2003","2710T242","72283069"
"2003","2710T242","72283070"
"2003","2710T242","72283089"
"2003","2710T242","72284010"
"2003","2710T242","72284090"
