"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit","Description of supplementary unit"
"314864","8","020329550080","020329550010","0203 29 55",,"----- Boneless","Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)",,
"314865","8","020329590080","020329550010","0203 29 59",,"----- Other","Frozen boneless meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)",,
"314866","6","020329900080","020329000080","0203 29 90","0203 29","--- Other","Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof)",,
"314867","3","020400000080","020021000090","0204","02"," Meat of sheep or goats, fresh, chilled or frozen","Meat of sheep or goats, fresh, chilled or frozen",,
"314868","4","020410000080","020400000080","0204 10 00","0204","- Carcases and half-carcases of lamb, fresh or chilled","Fresh or chilled lamb carcases and half-carcases",,
"314869","4","020421000010","020400000080",,"0204","- Other meat of sheep, fresh or chilled",,,
"314870","5","020421000080","020421000010","0204 21 00",,"-- Carcases and half-carcases","Fresh or chilled sheep carcases and half-carcases (excl. lambs)",,
"314871","5","020422000080","020421000010","0204 22",,"-- Other cuts with bone in","Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)",,
"314872","6","020422100080","020422000080","0204 22 10","0204 22","--- Short forequarters","Fresh or chilled sheep short forequarters",,
"314873","6","020422300080","020422000080","0204 22 30","0204 22","--- Chines and/or best ends","Fresh or chilled sheep chines and/or best ends",,
"314874","6","020422500080","020422000080","0204 22 50","0204 22","--- Legs","Fresh or chilled sheep legs",,
"314875","6","020422900080","020422000080","0204 22 90","0204 22","--- Other","Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",,
"314876","5","020423000080","020421000010","0204 23 00",,"-- Boneless","Fresh or chilled boneless cuts of sheep",,
"314877","4","020430000080","020400000080","0204 30 00","0204","- Carcases and half-carcases of lamb, frozen","Frozen lamb carcases and half-carcases",,
"314878","4","020441000010","020400000080",,"0204","- Other meat of sheep, frozen",,,
"314879","5","020441000080","020441000010","0204 41 00",,"-- Carcases and half-carcases","Frozen sheep carcases and half-carcases (excl. lambs)",,
"314880","5","020442000080","020441000010","0204 42",,"-- Other cuts with bone in","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",,
"314881","6","020442100080","020442000080","0204 42 10","0204 42","--- Short forequarters","Frozen sheep short forequarters",,
"314882","6","020442300080","020442000080","0204 42 30","0204 42","--- Chines and/or best ends","Frozen sheep chines and/or best ends",,
"314883","6","020442500080","020442000080","0204 42 50","0204 42","--- Legs","Frozen sheep legs",,
"314884","6","020442900080","020442000080","0204 42 90","0204 42","--- Other","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",,
"314885","5","020443000080","020441000010","0204 43",,"-- Boneless","Frozen boneless cuts of sheep",,
"314886","6","020443100080","020443000080","0204 43 10","0204 43","--- Of lamb","Frozen meat of lambs, boneless, frozen",,
"314887","6","020443900080","020443000080","0204 43 90","0204 43","--- Other","Frozen meat of sheep, boneless (excl. lamb)",,
"314888","4","020450000080","020400000080","0204 50","0204","- Meat of goats","Fresh, chilled or frozen meat of goats",,
"314889","5","020450110010","020450000080",,"0204 50","-- Fresh or chilled",,,
"314890","6","020450110080","020450110010","0204 50 11",,"--- Carcases and half-carcases","Fresh or chilled goat carcases and half-carcases",,
"314891","6","020450130080","020450110010","0204 50 13",,"--- Short forequarters","Fresh or chilled goat short forequarters",,
"314892","6","020450150080","020450110010","0204 50 15",,"--- Chines and/or best ends","Fresh or chilled goat chines and/or best ends",,
"314893","6","020450190080","020450110010","0204 50 19",,"--- Legs","Fresh or chilled legs of goat",,
"314894","6","020450310010","020450110010",,,"--- Other",,,
"314895","7","020450310080","020450310010","0204 50 31",,"---- Cuts with bone in","Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",,
"314896","7","020450390080","020450310010","0204 50 39",,"---- Boneless cuts","Fresh or chilled boneless cuts of goat",,
"314897","5","020450510010","020450000080",,"0204 50","-- Frozen",,,
"314898","6","020450510080","020450510010","0204 50 51",,"--- Carcases and half-carcases","Frozen goat carcases and half-carcases",,
"314899","6","020450530080","020450510010","0204 50 53",,"--- Short forequarters","Frozen goat short forequarters",,
"314900","6","020450550080","020450510010","0204 50 55",,"--- Chines and/or best ends","Frozen goat chines and/or best ends",,
"314901","6","020450590080","020450510010","0204 50 59",,"--- Legs","Frozen goat legs",,
"314902","6","020450710010","020450510010",,,"--- Other",,,
